Inventory_ID,PO_ID,Product_ID,Warehouse_ID,Snapshot_Date,Opening_Stock,Stock_In,Stock_Out,Closing_Stock,Reorder_Level,Safety_Stock,Inventory_Value_INR,Stock_Status,Capacity_Utilization_Percent,Calculated_Closing_Stock,Inventory_Quality_Flag
INVT000001,PO000001,P0097,WH003,2025-10-22,715,355,189,881,197,84,60715506.98,Normal,3.31,881,Valid
INVT000002,PO000002,P0128,WH001,2025-06-11,465,489,375,579,404,136,16862882.85,Normal,2.5,579,Valid
INVT000003,PO000003,P0279,WH004,2025-06-06,224,600,480,344,138,52,24955799.92,Normal,2.35,344,Valid
INVT000004,PO000004,P0121,WH004,2025-07-02,73,260,277,56,119,200,990622.08,Reorder,0.38,56,Valid
INVT000005,PO000005,P0120,WH001,2025-07-28,686,290,150,826,236,214,64010308.32,Normal,3.56,826,Valid
INVT000006,PO000006,P0072,WH001,2025-06-18,98,836,1163,0,290,216,0.0,Stockout,0.0,0,Valid
INVT000007,PO000007,P0084,WH003,2025-04-13,319,569,378,510,239,88,19309681.2,Normal,1.9100000000000001,510,Valid
INVT000008,PO000008,P0135,WH003,2025-01-24,222,669,263,628,182,127,39559892.88,Normal,2.36,628,Valid
INVT000009,PO000009,P0070,WH002,2025-04-10,1112,13,15,1110,306,185,82830653.1,Normal,5.99,1110,Valid
INVT000010,PO000010,P0030,WH004,2025-06-22,672,16,9,679,258,168,53274747.4,Normal,4.65,679,Valid
INVT000011,PO000011,P0032,WH002,2025-10-26,193,755,987,0,237,188,0.0,Stockout,0.0,0,Valid
INVT000012,PO000012,P0107,WH002,2025-07-17,1305,734,151,1888,328,235,66221883.2,Overstock,10.18,1888,Valid
INVT000013,PO000013,P0236,WH003,2025-11-15,1637,743,1056,1324,480,237,92240921.88,Normal,4.97,1324,Valid
INVT000014,PO000014,P0144,WH002,2025-01-27,1064,666,288,1442,391,246,65064539.68,Normal,7.78,1442,Valid
INVT000015,PO000015,P0064,WH001,2026-02-19,1274,741,784,1231,499,106,90070645.08,Normal,5.31,1231,Valid
INVT000016,PO000016,P0198,WH002,2025-06-16,39,418,446,11,38,223,706867.7,Reorder,0.06,11,Valid
INVT000017,PO000017,P0010,WH001,2025-03-22,1334,907,619,1622,380,29,13623778.14,Normal,7.0,1622,Valid
INVT000018,PO000018,P0007,WH004,2025-10-14,191,347,36,502,194,82,30992701.9,Normal,3.44,502,Valid
INVT000019,PO000019,P0090,WH004,2025-04-03,89,920,1025,0,76,160,0.0,Stockout,0.0,0,Valid
INVT000020,PO000020,P0106,WH001,2025-07-01,17,833,470,380,213,184,6459027.2,Normal,1.6400000000000001,380,Valid
INVT000021,PO000021,P0016,WH004,2026-04-09,76,412,111,377,38,195,33470297.51,Overstock,2.58,377,Valid
INVT000022,PO000022,P0064,WH002,2025-11-06,680,104,154,630,499,106,52856716.5,Normal,3.4,630,Valid
INVT000023,PO000023,P0221,WH002,2025-02-28,446,348,218,576,187,23,28375228.8,Normal,3.11,576,Valid
INVT000024,PO000024,P0239,WH002,2026-04-26,798,277,233,842,338,96,41026652.08,Normal,4.54,842,Valid
