PO_ID,PO_Date,Supplier_ID,Product_ID,Warehouse_ID,Contract_ID,Supply_Type,Quantity,Unit_Cost_INR,Subtotal_INR,Freight_INR,Import_Duty_Percent,Import_Duty_INR,Tax_INR,Total_PO_Value_INR,Currency,Exchange_Rate_to_INR,Shipping_Mode,Expected_Delivery_Date,Actual_Receipt_Date,Delay_Days,Approval_Status,PO_Status,Calculated_Subtotal
PO000001,22-10-2025,S0123,P0097,WH003,CT00310,Domestic,355,68916.58,24465385.9,185008.95,0,0,4437071.07,29087465.92,INR,1,Rail,27-11-2025,27-11-2025,0,Approved,Delivered,24465385.9
PO000002,11-06-2025,S0045,P0128,WH001,CT00282,Domestic,489,29124.15,14241709.35,262633.14,0,0,2610781.65,17115124.14,INR,1,Air,26-06-2025,26-06-2025,0,Approved,Delivered,14241709.35
PO000003,06-06-2025,S0053,P0279,WH004,CT00048,Domestic,600,72545.93,43527558,825323.79,0,0,7983518.72,52336400.51,INR,1,Air,17-06-2025,18-06-2025,1,Approved,Partially Delivered,43527558
PO000004,02-07-2025,S0018,P0121,WH004,CT00031,Domestic,260,17689.68,4599316.8,82081.61,0,0,842651.71,5524050.12,INR,1,Road,18-07-2025,18-07-2025,0,Approved,Partially Delivered,4599316.8
PO000005,28-07-2025,S0023,P0120,WH001,CT00325,Domestic,290,77494.32,22473352.8,397240.06,0,0,4116706.71,26987299.57,INR,1,Air,07-08-2025,07-08-2025,0,Approved,Partially Delivered,22473352.8
PO000006,18-06-2025,S0065,P0072,WH001,CT00367,Domestic,836,7257.74,6067470.64,98589.41,0,0,1109890.81,7275950.86,INR,1,Air,30-06-2025,30-06-2025,0,Approved,Delivered,6067470.64
PO000007,13-04-2025,S0054,P0084,WH003,CT00421,Domestic,569,37862.12,21543546.28,257284.39,0,0,3924149.52,25724980.19,INR,1,Road,04-05-2025,04-05-2025,0,Approved,Partially Delivered,21543546.28
PO000008,24-01-2025,S0099,P0135,WH003,CT00324,Domestic,669,62993.46,42142624.74,577300.9,0,0,7689586.62,50409512.26,INR,1,Rail,10-02-2025,12-02-2025,2,Approved,Delivered,42142624.74
PO000009,10-04-2025,S0056,P0070,WH002,CT00590,Domestic,13,74622.21,970088.73,10094.65,0,0,176433.01,1156616.39,INR,1,Road,07-05-2025,07-05-2025,0,Approved,Cancelled,970088.73
PO000010,22-06-2025,S0005,P0030,WH004,CT00370,Domestic,16,78460.6,1255369.6,14092.48,0,0,228503.17,1497965.25,INR,1,Road,04-07-2025,07-07-2025,3,Approved,Delivered,1255369.6
