Supplier_ID,Supplier_Name,Supplier_Type,Supplier_Country,Supplier_City,Primary_Category,Supplier_Rating,Typical_Lead_Time_Days,Supplier_Status,Currency
S0001,Domestic Supplier 001,Domestic,India,Mumbai,Food & Beverage,Good,12,Active,INR
S0002,Domestic Supplier 002,Domestic,India,Bengaluru,Office Supplies,Good,12,Under Review,INR
S0003,Domestic Supplier 003,Domestic,India,Hyderabad,Electronics,Good,10,Active,INR
S0004,Domestic Supplier 004,Domestic,India,Coimbatore,Office Supplies,Excellent,13,Active,INR
S0005,Domestic Supplier 005,Domestic,India,Chennai,Industrial,Good,7,Active,INR
S0006,Domestic Supplier 006,Domestic,India,Mumbai,Packaging,Excellent,6,Active,INR
S0007,Domestic Supplier 007,Domestic,India,Mumbai,Food & Beverage,Average,24,Active,INR
S0008,Domestic Supplier 008,Domestic,India,Mumbai,Industrial,Excellent,8,Under Review,INR
S0009,Domestic Supplier 009,Domestic,India,Vellore,Automotive,Excellent,10,Active,INR
S0010,Domestic Supplier 010,Domestic,India,Pune,Automotive,Good,24,Under Review,INR
S0011,Domestic Supplier 011,Domestic,India,Hyderabad,Packaging,Average,26,Under Review,INR
S0012,Domestic Supplier 012,Domestic,India,Vellore,Packaging,Excellent,25,Active,INR
S0013,Domestic Supplier 013,Domestic,India,Delhi,Packaging,Good,24,Under Review,INR
S0014,Domestic Supplier 014,Domestic,India,Coimbatore,Electronics,Good,15,Active,INR
S0015,Domestic Supplier 015,Domestic,India,Mumbai,Packaging,Excellent,6,Under Review,INR
S0016,Domestic Supplier 016,Domestic,India,Hyderabad,Industrial,Good,30,Active,INR
S0017,Domestic Supplier 017,Domestic,India,Delhi,Food & Beverage,Average,28,Under Review,INR
S0018,Domestic Supplier 018,Domestic,India,Pune,Office Supplies,Excellent,14,Active,INR
S0019,Domestic Supplier 019,Domestic,India,Coimbatore,Automotive,Good,28,Active,INR
S0020,Domestic Supplier 020,Domestic,India,Coimbatore,Industrial,Average,24,Active,INR
S0021,Domestic Supplier 021,Domestic,India,Hyderabad,Office Supplies,Good,8,Active,INR
S0022,Domestic Supplier 022,Domestic,India,Mumbai,Electronics,Good,11,Under Review,INR
S0023,Domestic Supplier 023,Domestic,India,Chennai,Electronics,Average,6,Under Review,INR
S0024,Domestic Supplier 024,Domestic,India,Pune,Food & Beverage,Good,24,Active,INR
S0025,Domestic Supplier 025,Domestic,India,Mumbai,Automotive,Good,29,Active,INR
S0026,Domestic Supplier 026,Domestic,India,Bengaluru,Food & Beverage,Excellent,20,Active,INR
S0027,Domestic Supplier 027,Domestic,India,Chennai,Automotive,Good,12,Active,INR
S0028,Domestic Supplier 028,Domestic,India,Chennai,Industrial,Excellent,6,Active,INR
S0029,Domestic Supplier 029,Domestic,India,Chennai,Office Supplies,Good,28,Active,INR
S0030,Domestic Supplier 030,Domestic,India,Mumbai,Industrial,Good,10,Active,INR
S0031,Domestic Supplier 031,Domestic,India,Bengaluru,Automotive,Good,20,Active,INR
S0032,Domestic Supplier 032,Domestic,India,Pune,Industrial,Good,9,Active,INR
S0033,Domestic Supplier 033,Domestic,India,Vellore,Automotive,Good,6,Active,INR
S0034,Domestic Supplier 034,Domestic,India,Coimbatore,Industrial,Good,28,Active,INR
S0035,Domestic Supplier 035,Domestic,India,Bengaluru,Electronics,Good,9,Active,INR
S0036,Domestic Supplier 036,Domestic,India,Vellore,Food & Beverage,Good,14,Active,INR
S0037,Domestic Supplier 037,Domestic,India,Hyderabad,Industrial,Good,30,Active,INR
S0038,Domestic Supplier 038,Domestic,India,Hyderabad,Office Supplies,Excellent,7,Active,INR
S0039,Domestic Supplier 039,Domestic,India,Delhi,Automotive,Good,19,Under Review,INR
S0040,Domestic Supplier 040,Domestic,India,Vellore,Packaging,Average,8,Active,INR
S0041,Domestic Supplier 041,Domestic,India,Delhi,Office Supplies,Average,14,Active,INR
S0042,Domestic Supplier 042,Domestic,India,Mumbai,Food & Beverage,Average,24,Under Review,INR
S0043,Domestic Supplier 043,Domestic,India,Coimbatore,Packaging,Good,13,Under Review,INR
S0044,Domestic Supplier 044,Domestic,India,Chennai,Food & Beverage,Good,16,Active,INR
S0045,Domestic Supplier 045,Domestic,India,Delhi,Industrial,Good,7,Active,INR
S0046,Domestic Supplier 046,Domestic,India,Vellore,Food & Beverage,Average,28,Under Review,INR
S0047,Domestic Supplier 047,Domestic,India,Chennai,Industrial,Average,29,Active,INR
S0048,Domestic Supplier 048,Domestic,India,Mumbai,Industrial,Good,14,Active,INR
S0049,Domestic Supplier 049,Domestic,India,Chennai,Industrial,Average,6,Active,INR
S0050,Domestic Supplier 050,Domestic,India,Bengaluru,Electronics,Good,11,Active,INR
S0051,Domestic Supplier 051,Domestic,India,Vellore,Packaging,Excellent,11,Active,INR
S0052,Domestic Supplier 052,Domestic,India,Vellore,Automotive,Good,24,Active,INR
S0053,Domestic Supplier 053,Domestic,India,Coimbatore,Industrial,Good,6,Active,INR
S0054,Domestic Supplier 054,Domestic,India,Mumbai,Electronics,Good,16,Active,INR
S0055,Domestic Supplier 055,Domestic,India,Coimbatore,Electronics,Average,18,Active,INR
S0056,Domestic Supplier 056,Domestic,India,Chennai,Industrial,Good,30,Active,INR
S0057,Domestic Supplier 057,Domestic,India,Mumbai,Electronics,Excellent,13,Active,INR
S0058,Domestic Supplier 058,Domestic,India,Bengaluru,Packaging,Good,29,Under Review,INR
S0059,Domestic Supplier 059,Domestic,India,Coimbatore,Electronics,Average,28,Active,INR
S0060,Domestic Supplier 060,Domestic,India,Hyderabad,Electronics,Good,18,Active,INR
S0061,Domestic Supplier 061,Domestic,India,Coimbatore,Industrial,Average,10,Under Review,INR
S0062,Domestic Supplier 062,Domestic,India,Bengaluru,Industrial,Excellent,5,Active,INR
S0063,Domestic Supplier 063,Domestic,India,Chennai,Electronics,Good,10,Active,INR
S0064,Domestic Supplier 064,Domestic,India,Vellore,Industrial,Average,20,Active,INR
S0065,Domestic Supplier 065,Domestic,India,Vellore,Packaging,Good,5,Under Review,INR
S0066,Domestic Supplier 066,Domestic,India,Delhi,Automotive,Good,25,Active,INR
S0067,Domestic Supplier 067,Domestic,India,Delhi,Electronics,Average,8,Active,INR
S0068,Domestic Supplier 068,Domestic,India,Coimbatore,Packaging,Good,18,Under Review,INR
S0069,Domestic Supplier 069,Domestic,India,Chennai,Industrial,Excellent,11,Active,INR
