Invoice_ID,PO_ID,Supplier_ID,Invoice_Date,Receipt_Date,Due_Date,Invoice_Amount_INR,Currency,Exchange_Rate_to_INR,Payment_Status,Paid_Date,Matching_Status,Invoice_Approval_Status
INV000001,PO000001,S0123,2025-10-22,2025-11-27,2026-01-11,29087465.92,INR,1.0,Paid,2026-01-06,Three-Way Match,Approved
INV000002,PO000002,S0045,2025-06-11,2025-06-26,2025-09-24,17115124.14,INR,1.0,Pending,,Manual Review,Pending
INV000003,PO000003,S0053,2025-06-06,2025-06-18,2025-08-17,52336400.51,INR,1.0,Paid,2025-08-15,Three-Way Match,Approved
INV000004,PO000004,S0018,2025-07-02,2025-07-18,2025-09-01,5524050.12,INR,1.0,Overdue,,Three-Way Match,Approved
INV000005,PO000005,S0023,2025-07-28,2025-08-07,2025-09-21,26987299.57,INR,1.0,Pending,,Three-Way Match,Approved
INV000006,PO000006,S0065,2025-06-18,2025-06-30,2025-07-30,7275950.86,INR,1.0,Paid,2025-07-22,Three-Way Match,Approved
INV000007,PO000007,S0054,2025-04-13,2025-05-04,2025-06-18,25724980.19,INR,1.0,Paid,2025-06-08,Manual Review,Approved
INV000008,PO000008,S0099,2025-01-24,2025-02-12,2025-03-29,50409512.26,INR,1.0,Paid,2025-03-20,Three-Way Match,Pending
INV000009,PO000009,S0056,2025-04-10,2025-05-07,2025-08-05,1156616.39,INR,1.0,Paid,2025-07-31,Three-Way Match,Approved
INV000010,PO000010,S0005,2025-06-22,2025-07-07,2025-08-21,1497965.25,INR,1.0,Paid,2025-08-17,Three-Way Match,Pending
INV000011,PO000011,S0003,2025-10-26,2025-11-07,2026-02-05,15124740.52,INR,1.0,Paid,2026-02-05,Manual Review,Approved
INV000012,PO000012,S0053,2025-07-17,2025-07-30,2025-10-28,30588794.67,INR,1.0,Paid,2025-10-18,Manual Review,Pending
INV000013,PO000013,S0019,2025-11-15,2025-12-23,2026-01-22,61966863.26,INR,1.0,Paid,2026-01-15,Manual Review,Approved
INV000014,PO000014,S0003,2025-01-27,2025-02-21,2025-03-23,35931138.04,INR,1.0,Paid,2025-03-21,Three-Way Match,Pending
INV000015,PO000015,S0113,2026-02-19,2026-03-03,2026-04-02,65128120.28,INR,1.0,Overdue,,Three-Way Match,Approved
INV000016,PO000016,S0111,2025-06-16,2025-07-04,2025-08-03,32288736.7,INR,1.0,Paid,2025-08-02,Three-Way Match,Approved
INV000017,PO000017,S0045,2025-03-22,2025-04-05,2025-05-20,9096621.56,INR,1.0,Pending,,Three-Way Match,Pending
INV000018,PO000018,S0062,2025-10-14,2025-10-27,2025-11-26,25736524.25,INR,1.0,Paid,2025-11-20,Three-Way Match,Pending
INV000019,PO000019,S0091,2025-04-03,2025-04-23,2025-07-22,92020201.55,INR,1.0,Pending,,Manual Review,Pending
INV000020,PO000020,S0103,2025-07-01,2025-07-26,2025-09-24,16969405.57,INR,1.0,Paid,2025-09-19,Three-Way Match,Approved
INV000021,PO000021,S0119,2026-04-09,2026-04-15,2026-07-14,43823966.48,INR,1.0,Pending,,Manual Review,Approved
INV000022,PO000022,S0027,2025-11-06,2025-11-16,2025-12-31,10458017.53,INR,1.0,Overdue,,Three-Way Match,Pending
INV000023,PO000023,S0020,2025-02-28,2025-04-03,2025-07-02,20554938.0,INR,1.0,Pending,,Three-Way Match,Approved
INV000024,PO000024,S0054,2026-04-26,2026-05-20,2026-06-19,16059294.45,INR,1.0,Partially Paid,,Three-Way Match,Pending
INV000025,PO000025,S0122,2026-03-18,2026-03-29,2026-04-28,72069260.4,INR,1.0,Paid,2026-04-19,Three-Way Match,Approved
INV000026,PO000026,S0076,2025-03-16,2025-04-12,2025-05-12,4354715.78,INR,1.0,Paid,2025-05-02,Three-Way Match,Approved
INV000027,PO000027,S0082,2025-12-04,2025-12-20,2026-01-19,4858600.71,INR,1.0,Pending,,Three-Way Match,Approved
INV000028,PO000028,S0036,2026-07-01,2026-07-26,2026-09-09,48969583.75,INR,1.0,Partially Paid,,Three-Way Match,Approved
INV000029,PO000029,S0039,2025-05-19,2025-06-15,2025-09-13,48288755.12,INR,1.0,Paid,2025-09-06,Three-Way Match,Approved
INV000030,PO000030,S0109,2025-08-04,2025-08-28,2025-11-26,6164461.47,INR,1.0,Paid,2025-11-23,Three-Way Match,Approved
INV000031,PO000031,S0028,2025-02-01,2025-02-15,2025-03-17,33860954.19,INR,1.0,Paid,2025-03-14,Manual Review,Approved
INV000032,PO000032,S0040,2026-06-16,2026-07-02,2026-09-30,9008304.22,INR,1.0,Overdue,,Three-Way Match,Pending
INV000033,PO000033,S0090,2025-05-20,2025-06-13,2025-09-11,24650997.75,INR,1.0,Paid,2025-09-06,Manual Review,Approved
INV000034,PO000034,S0002,2025-12-28,2026-01-12,2026-03-13,8095240.55,INR,1.0,Paid,2026-03-09,Three-Way Match,Approved
INV000035,PO000035,S0035,2025-10-25,2025-11-06,2025-12-06,16664808.2,INR,1.0,Paid,2025-11-28,Three-Way Match,Approved
INV000036,PO000036,S0004,2025-11-18,2025-12-15,2026-03-15,50537617.46,INR,1.0,Paid,2026-03-08,Manual Review,Approved
INV000037,PO000037,S0036,2025-06-17,2025-07-08,2025-09-06,4617813.31,INR,1.0,Paid,2025-08-27,Three-Way Match,Approved
INV000038,PO000038,S0119,2025-06-17,2025-06-28,2025-08-27,35909639.82,INR,1.0,Paid,2025-08-17,Three-Way Match,Approved
INV000039,PO000039,S0072,2025-05-29,2025-06-27,2025-08-11,32112728.32,INR,1.0,Overdue,,Three-Way Match,Approved
