Warehouse_ID,Warehouse_Name,City,Country,Warehouse_Type,Capacity_Units,Storage_Condition,Warehouse_Status
WH001,Chennai Central,Chennai,India,Domestic,23172,Ambient,Active
WH002,Mumbai West,Mumbai,India,Domestic,18546,Ambient,Active
WH003,Delhi North,Delhi,India,Domestic,26648,Climate Controlled,Active
WH004,Bengaluru South,Bengaluru,India,Domestic,14608,Climate Controlled,Active
WH005,Dubai Free Zone,Dubai,UAE,International,23237,Ambient,Active
WH006,Singapore Hub,Singapore,Singapore,International,20762,Climate Controlled,Active
WH007,Frankfurt Hub,Frankfurt,Germany,International,5767,Climate Controlled,Active
WH008,Los Angeles Hub,Los Angeles,USA,International,20338,Climate Controlled,Active
WH009,London Hub,London,UK,International,26756,Climate Controlled,Active
WH010,Tokyo Hub,Tokyo,Japan,International,28951,Cold Storage,Active
